atc_code5,atc_code4,atc_code3,atc_code2,atc_code1,atc_desc5,atc_desc4,atc_desc3,atc_desc2,atc_desc1
B02BB01,B02BB,B02B,B02,B,"fibrinogen, human",Fibrinogen,VITAMIN K AND OTHER HEMOSTATICS,ANTIHEMORRHAGICS,BLOOD AND BLOOD FORMING ORGANS
M03BA01,M03BA,M03B,M03,M,phenprobamate,Carbamic acid esters,"MUSCLE RELAXANTS, CENTRALLY ACTING AGENTS",MUSCLE RELAXANTS,MUSCULO-SKELETAL SYSTEM
M03BA02,M03BA,M03B,M03,M,carisoprodol,Carbamic acid esters,"MUSCLE RELAXANTS, CENTRALLY ACTING AGENTS",MUSCLE RELAXANTS,MUSCULO-SKELETAL SYSTEM
M03BA03,M03BA,M03B,M03,M,methocarbamol,Carbamic acid esters,"MUSCLE RELAXANTS, CENTRALLY ACTING AGENTS",MUSCLE RELAXANTS,MUSCULO-SKELETAL SYSTEM
M03BA04,M03BA,M03B,M03,M,styramate,Carbamic acid esters,"MUSCLE RELAXANTS, CENTRALLY ACTING AGENTS",MUSCLE RELAXANTS,MUSCULO-SKELETAL SYSTEM
M03BA05,M03BA,M03B,M03,M,febarbamate,Carbamic acid esters,"MUSCLE RELAXANTS, CENTRALLY ACTING AGENTS",MUSCLE RELAXANTS,MUSCULO-SKELETAL SYSTEM
M03BA51,M03BA,M03B,M03,M,"phenprobamate, combinations excl. psycholeptics",Carbamic acid esters,"MUSCLE RELAXANTS, CENTRALLY ACTING AGENTS",MUSCLE RELAXANTS,MUSCULO-SKELETAL SYSTEM
M03BA52,M03BA,M03B,M03,M,"carisoprodol, combinations excl. psycholeptics",Carbamic acid esters,"MUSCLE RELAXANTS, CENTRALLY ACTING AGENTS",MUSCLE RELAXANTS,MUSCULO-SKELETAL SYSTEM
M03BA53,M03BA,M03B,M03,M,"methocarbamol, combinations excl. psycholeptics",Carbamic acid esters,"MUSCLE RELAXANTS, CENTRALLY ACTING AGENTS",MUSCLE RELAXANTS,MUSCULO-SKELETAL SYSTEM
M03BA71,M03BA,M03B,M03,M,"phenprobamate, combinations with psycholeptics",Carbamic acid esters,"MUSCLE RELAXANTS, CENTRALLY ACTING AGENTS",MUSCLE RELAXANTS,MUSCULO-SKELETAL SYSTEM
M03BA72,M03BA,M03B,M03,M,"carisoprodol, combinations with psycholeptics",Carbamic acid esters,"MUSCLE RELAXANTS, CENTRALLY ACTING AGENTS",MUSCLE RELAXANTS,MUSCULO-SKELETAL SYSTEM
M03BA73,M03BA,M03B,M03,M,"methocarbamol, combinations with psycholeptics",Carbamic acid esters,"MUSCLE RELAXANTS, CENTRALLY ACTING AGENTS",MUSCLE RELAXANTS,MUSCULO-SKELETAL SYSTEM
A06AD01,A06AD,A06A,A06,A,magnesium carbonate,Osmotically acting laxatives,DRUGS FOR CONSTIPATION,DRUGS FOR CONSTIPATION,ALIMENTARY TRACT AND METABOLISM
A06AD02,A06AD,A06A,A06,A,magnesium oxide,Osmotically acting laxatives,DRUGS FOR CONSTIPATION,DRUGS FOR CONSTIPATION,ALIMENTARY TRACT AND METABOLISM
A06AD03,A06AD,A06A,A06,A,magnesium peroxide,Osmotically acting laxatives,DRUGS FOR CONSTIPATION,DRUGS FOR CONSTIPATION,ALIMENTARY TRACT AND METABOLISM
A06AD04,A06AD,A06A,A06,A,magnesium sulfate,Osmotically acting laxatives,DRUGS FOR CONSTIPATION,DRUGS FOR CONSTIPATION,ALIMENTARY TRACT AND METABOLISM
A06AD10,A06AD,A06A,A06,A,mineral salts in combination,Osmotically acting laxatives,DRUGS FOR CONSTIPATION,DRUGS FOR CONSTIPATION,ALIMENTARY TRACT AND METABOLISM
A06AD11,A06AD,A06A,A06,A,lactulose,Osmotically acting laxatives,DRUGS FOR CONSTIPATION,DRUGS FOR CONSTIPATION,ALIMENTARY TRACT AND METABOLISM
A06AD12,A06AD,A06A,A06,A,lactitol,Osmotically acting laxatives,DRUGS FOR CONSTIPATION,DRUGS FOR CONSTIPATION,ALIMENTARY TRACT AND METABOLISM
A06AD13,A06AD,A06A,A06,A,sodium sulfate,Osmotically acting laxatives,DRUGS FOR CONSTIPATION,DRUGS FOR CONSTIPATION,ALIMENTARY TRACT AND METABOLISM
A06AD14,A06AD,A06A,A06,A,pentaerithrityl,Osmotically acting laxatives,DRUGS FOR CONSTIPATION,DRUGS FOR CONSTIPATION,ALIMENTARY TRACT AND METABOLISM
A06AD15,A06AD,A06A,A06,A,macrogol,Osmotically acting laxatives,DRUGS FOR CONSTIPATION,DRUGS FOR CONSTIPATION,ALIMENTARY TRACT AND METABOLISM
A06AD16,A06AD,A06A,A06,A,mannitol,Osmotically acting laxatives,DRUGS FOR CONSTIPATION,DRUGS FOR CONSTIPATION,ALIMENTARY TRACT AND METABOLISM
A06AD17,A06AD,A06A,A06,A,sodium phosphate,Osmotically acting laxatives,DRUGS FOR CONSTIPATION,DRUGS FOR CONSTIPATION,ALIMENTARY TRACT AND METABOLISM
A06AD18,A06AD,A06A,A06,A,sorbitol,Osmotically acting laxatives,DRUGS FOR CONSTIPATION,DRUGS FOR CONSTIPATION,ALIMENTARY TRACT AND METABOLISM
A06AD19,A06AD,A06A,A06,A,magnesium citrate,Osmotically acting laxatives,DRUGS FOR CONSTIPATION,DRUGS FOR CONSTIPATION,ALIMENTARY TRACT AND METABOLISM
A06AD21,A06AD,A06A,A06,A,sodium tartrate,Osmotically acting laxatives,DRUGS FOR CONSTIPATION,DRUGS FOR CONSTIPATION,ALIMENTARY TRACT AND METABOLISM
A06AD61,A06AD,A06A,A06,A,"lactulose, combinations",Osmotically acting laxatives,DRUGS FOR CONSTIPATION,DRUGS FOR CONSTIPATION,ALIMENTARY TRACT AND METABOLISM
A06AD65,A06AD,A06A,A06,A,"macrogol, combinations",Osmotically acting laxatives,DRUGS FOR CONSTIPATION,DRUGS FOR CONSTIPATION,ALIMENTARY TRACT AND METABOLISM
H03BA01,H03BA,H03B,H03,H,methylthiouracil,Thiouracils,ANTITHYROID PREPARATIONS,THYROID THERAPY,"SYSTEMIC HORMONAL PREPARATIONS, EXCL. SEX HORMONES AND INSULINS"
H03BA02,H03BA,H03B,H03,H,propylthiouracil,Thiouracils,ANTITHYROID PREPARATIONS,THYROID THERAPY,"SYSTEMIC HORMONAL PREPARATIONS, EXCL. SEX HORMONES AND INSULINS"
H03BA03,H03BA,H03B,H03,H,benzylthiouracil,Thiouracils,ANTITHYROID PREPARATIONS,THYROID THERAPY,"SYSTEMIC HORMONAL PREPARATIONS, EXCL. SEX HORMONES AND INSULINS"
J01DH02,J01DH,J01D,J01,J,meropenem,Carbapenems,OTHER BETA-LACTAM ANTIBACTERIALS,ANTIBACTERIALS FOR SYSTEMIC USE,ANTIINFECTIVES FOR SYSTEMIC USE
J01DH03,J01DH,J01D,J01,J,ertapenem,Carbapenems,OTHER BETA-LACTAM ANTIBACTERIALS,ANTIBACTERIALS FOR SYSTEMIC USE,ANTIINFECTIVES FOR SYSTEMIC USE
J01DH04,J01DH,J01D,J01,J,doripenem,Carbapenems,OTHER BETA-LACTAM ANTIBACTERIALS,ANTIBACTERIALS FOR SYSTEMIC USE,ANTIINFECTIVES FOR SYSTEMIC USE
J01DH05,J01DH,J01D,J01,J,biapenem,Carbapenems,OTHER BETA-LACTAM ANTIBACTERIALS,ANTIBACTERIALS FOR SYSTEMIC USE,ANTIINFECTIVES FOR SYSTEMIC USE
J01DH51,J01DH,J01D,J01,J,imipenem and enzyme inhibitor,Carbapenems,OTHER BETA-LACTAM ANTIBACTERIALS,ANTIBACTERIALS FOR SYSTEMIC USE,ANTIINFECTIVES FOR SYSTEMIC USE
J01DH55,J01DH,J01D,J01,J,panipenem and betamipron,Carbapenems,OTHER BETA-LACTAM ANTIBACTERIALS,ANTIBACTERIALS FOR SYSTEMIC USE,ANTIINFECTIVES FOR SYSTEMIC USE
A10BB01,A10BB,A10B,A10,A,glibenclamide,Sulfonylureas,"BLOOD GLUCOSE LOWERING DRUGS, EXCL. INSULINS",DRUGS USED IN DIABETES,ALIMENTARY TRACT AND METABOLISM
A10BB02,A10BB,A10B,A10,A,chlorpropamide,Sulfonylureas,"BLOOD GLUCOSE LOWERING DRUGS, EXCL. INSULINS",DRUGS USED IN DIABETES,ALIMENTARY TRACT AND METABOLISM
A10BB03,A10BB,A10B,A10,A,tolbutamide,Sulfonylureas,"BLOOD GLUCOSE LOWERING DRUGS, EXCL. INSULINS",DRUGS USED IN DIABETES,ALIMENTARY TRACT AND METABOLISM
A10BB04,A10BB,A10B,A10,A,glibornuride,Sulfonylureas,"BLOOD GLUCOSE LOWERING DRUGS, EXCL. INSULINS",DRUGS USED IN DIABETES,ALIMENTARY TRACT AND METABOLISM
A10BB05,A10BB,A10B,A10,A,tolazamide,Sulfonylureas,"BLOOD GLUCOSE LOWERING DRUGS, EXCL. INSULINS",DRUGS USED IN DIABETES,ALIMENTARY TRACT AND METABOLISM
A10BB06,A10BB,A10B,A10,A,carbutamide,Sulfonylureas,"BLOOD GLUCOSE LOWERING DRUGS, EXCL. INSULINS",DRUGS USED IN DIABETES,ALIMENTARY TRACT AND METABOLISM
A10BB07,A10BB,A10B,A10,A,glipizide,Sulfonylureas,"BLOOD GLUCOSE LOWERING DRUGS, EXCL. INSULINS",DRUGS USED IN DIABETES,ALIMENTARY TRACT AND METABOLISM
A10BB08,A10BB,A10B,A10,A,gliquidone,Sulfonylureas,"BLOOD GLUCOSE LOWERING DRUGS, EXCL. INSULINS",DRUGS USED IN DIABETES,ALIMENTARY TRACT AND METABOLISM
A10BB09,A10BB,A10B,A10,A,gliclazide,Sulfonylureas,"BLOOD GLUCOSE LOWERING DRUGS, EXCL. INSULINS",DRUGS USED IN DIABETES,ALIMENTARY TRACT AND METABOLISM
A10BB10,A10BB,A10B,A10,A,metahexamide,Sulfonylureas,"BLOOD GLUCOSE LOWERING DRUGS, EXCL. INSULINS",DRUGS USED IN DIABETES,ALIMENTARY TRACT AND METABOLISM
A10BB11,A10BB,A10B,A10,A,glisoxepide,Sulfonylureas,"BLOOD GLUCOSE LOWERING DRUGS, EXCL. INSULINS",DRUGS USED IN DIABETES,ALIMENTARY TRACT AND METABOLISM
A10BB12,A10BB,A10B,A10,A,glimepiride,Sulfonylureas,"BLOOD GLUCOSE LOWERING DRUGS, EXCL. INSULINS",DRUGS USED IN DIABETES,ALIMENTARY TRACT AND METABOLISM
A10BB31,A10BB,A10B,A10,A,acetohexamide,Sulfonylureas,"BLOOD GLUCOSE LOWERING DRUGS, EXCL. INSULINS",DRUGS USED IN DIABETES,ALIMENTARY TRACT AND METABOLISM
A08AA01,A08AA,A08A,A08,A,phentermine,Centrally acting antiobesity products,"ANTIOBESITY PREPARATIONS, EXCL. DIET PRODUCTS","ANTIOBESITY PREPARATIONS, EXCL. DIET PRODUCTS",ALIMENTARY TRACT AND METABOLISM
A08AA02,A08AA,A08A,A08,A,fenfluramine,Centrally acting antiobesity products,"ANTIOBESITY PREPARATIONS, EXCL. DIET PRODUCTS","ANTIOBESITY PREPARATIONS, EXCL. DIET PRODUCTS",ALIMENTARY TRACT AND METABOLISM
A08AA03,A08AA,A08A,A08,A,amfepramone,Centrally acting antiobesity products,"ANTIOBESITY PREPARATIONS, EXCL. DIET PRODUCTS","ANTIOBESITY PREPARATIONS, EXCL. DIET PRODUCTS",ALIMENTARY TRACT AND METABOLISM
A08AA04,A08AA,A08A,A08,A,dexfenfluramine,Centrally acting antiobesity products,"ANTIOBESITY PREPARATIONS, EXCL. DIET PRODUCTS","ANTIOBESITY PREPARATIONS, EXCL. DIET PRODUCTS",ALIMENTARY TRACT AND METABOLISM
A08AA05,A08AA,A08A,A08,A,mazindol,Centrally acting antiobesity products,"ANTIOBESITY PREPARATIONS, EXCL. DIET PRODUCTS","ANTIOBESITY PREPARATIONS, EXCL. DIET PRODUCTS",ALIMENTARY TRACT AND METABOLISM
A08AA06,A08AA,A08A,A08,A,etilamfetamine,Centrally acting antiobesity products,"ANTIOBESITY PREPARATIONS, EXCL. DIET PRODUCTS","ANTIOBESITY PREPARATIONS, EXCL. DIET PRODUCTS",ALIMENTARY TRACT AND METABOLISM
A08AA07,A08AA,A08A,A08,A,cathine,Centrally acting antiobesity products,"ANTIOBESITY PREPARATIONS, EXCL. DIET PRODUCTS","ANTIOBESITY PREPARATIONS, EXCL. DIET PRODUCTS",ALIMENTARY TRACT AND METABOLISM
A08AA08,A08AA,A08A,A08,A,clobenzorex,Centrally acting antiobesity products,"ANTIOBESITY PREPARATIONS, EXCL. DIET PRODUCTS","ANTIOBESITY PREPARATIONS, EXCL. DIET PRODUCTS",ALIMENTARY TRACT AND METABOLISM
A08AA09,A08AA,A08A,A08,A,mefenorex,Centrally acting antiobesity products,"ANTIOBESITY PREPARATIONS, EXCL. DIET PRODUCTS","ANTIOBESITY PREPARATIONS, EXCL. DIET PRODUCTS",ALIMENTARY TRACT AND METABOLISM
A08AA10,A08AA,A08A,A08,A,sibutramine,Centrally acting antiobesity products,"ANTIOBESITY PREPARATIONS, EXCL. DIET PRODUCTS","ANTIOBESITY PREPARATIONS, EXCL. DIET PRODUCTS",ALIMENTARY TRACT AND METABOLISM
