"atc_code5","atc_desc5","atc_code1","atc_code2","atc_code3","atc_code4","atc_desc1","atc_desc2","atc_desc3","atc_desc4"
"J01CA13","ticarcillin","J","J01","J01C","J01CA","ANTIINFECTIVES FOR SYSTEMIC USE","ANTIBACTERIALS FOR SYSTEMIC USE","BETA-LACTAM ANTIBACTERIALS, PENICILLINS","Penicillins with extended spectrum"
"J01CA14","metampicillin","J","J01","J01C","J01CA","ANTIINFECTIVES FOR SYSTEMIC USE","ANTIBACTERIALS FOR SYSTEMIC USE","BETA-LACTAM ANTIBACTERIALS, PENICILLINS","Penicillins with extended spectrum"
"J01CA15","talampicillin","J","J01","J01C","J01CA","ANTIINFECTIVES FOR SYSTEMIC USE","ANTIBACTERIALS FOR SYSTEMIC USE","BETA-LACTAM ANTIBACTERIALS, PENICILLINS","Penicillins with extended spectrum"
"J01CA16","sulbenicillin","J","J01","J01C","J01CA","ANTIINFECTIVES FOR SYSTEMIC USE","ANTIBACTERIALS FOR SYSTEMIC USE","BETA-LACTAM ANTIBACTERIALS, PENICILLINS","Penicillins with extended spectrum"
"J01CA17","temocillin","J","J01","J01C","J01CA","ANTIINFECTIVES FOR SYSTEMIC USE","ANTIBACTERIALS FOR SYSTEMIC USE","BETA-LACTAM ANTIBACTERIALS, PENICILLINS","Penicillins with extended spectrum"
"J01CA18","hetacillin","J","J01","J01C","J01CA","ANTIINFECTIVES FOR SYSTEMIC USE","ANTIBACTERIALS FOR SYSTEMIC USE","BETA-LACTAM ANTIBACTERIALS, PENICILLINS","Penicillins with extended spectrum"
"J01CA19","aspoxicillin","J","J01","J01C","J01CA","ANTIINFECTIVES FOR SYSTEMIC USE","ANTIBACTERIALS FOR SYSTEMIC USE","BETA-LACTAM ANTIBACTERIALS, PENICILLINS","Penicillins with extended spectrum"
"J01CA20","combinations","J","J01","J01C","J01CA","ANTIINFECTIVES FOR SYSTEMIC USE","ANTIBACTERIALS FOR SYSTEMIC USE","BETA-LACTAM ANTIBACTERIALS, PENICILLINS","Penicillins with extended spectrum"
"J01CA51","ampicillin, combinations","J","J01","J01C","J01CA","ANTIINFECTIVES FOR SYSTEMIC USE","ANTIBACTERIALS FOR SYSTEMIC USE","BETA-LACTAM ANTIBACTERIALS, PENICILLINS","Penicillins with extended spectrum"
"J01MA01","ofloxacin","J","J01","J01M","J01MA","ANTIINFECTIVES FOR SYSTEMIC USE","ANTIBACTERIALS FOR SYSTEMIC USE","QUINOLONE ANTIBACTERIALS","Fluoroquinolones"
"J01MA02","ciprofloxacin","J","J01","J01M","J01MA","ANTIINFECTIVES FOR SYSTEMIC USE","ANTIBACTERIALS FOR SYSTEMIC USE","QUINOLONE ANTIBACTERIALS","Fluoroquinolones"
"J01MA03","pefloxacin","J","J01","J01M","J01MA","ANTIINFECTIVES FOR SYSTEMIC USE","ANTIBACTERIALS FOR SYSTEMIC USE","QUINOLONE ANTIBACTERIALS","Fluoroquinolones"
"J01MA04","enoxacin","J","J01","J01M","J01MA","ANTIINFECTIVES FOR SYSTEMIC USE","ANTIBACTERIALS FOR SYSTEMIC USE","QUINOLONE ANTIBACTERIALS","Fluoroquinolones"
"J01MA05","temafloxacin","J","J01","J01M","J01MA","ANTIINFECTIVES FOR SYSTEMIC USE","ANTIBACTERIALS FOR SYSTEMIC USE","QUINOLONE ANTIBACTERIALS","Fluoroquinolones"
"J01MA06","norfloxacin","J","J01","J01M","J01MA","ANTIINFECTIVES FOR SYSTEMIC USE","ANTIBACTERIALS FOR SYSTEMIC USE","QUINOLONE ANTIBACTERIALS","Fluoroquinolones"
"J01MA07","lomefloxacin","J","J01","J01M","J01MA","ANTIINFECTIVES FOR SYSTEMIC USE","ANTIBACTERIALS FOR SYSTEMIC USE","QUINOLONE ANTIBACTERIALS","Fluoroquinolones"
"J01MA08","fleroxacin","J","J01","J01M","J01MA","ANTIINFECTIVES FOR SYSTEMIC USE","ANTIBACTERIALS FOR SYSTEMIC USE","QUINOLONE ANTIBACTERIALS","Fluoroquinolones"
"J01MA09","sparfloxacin","J","J01","J01M","J01MA","ANTIINFECTIVES FOR SYSTEMIC USE","ANTIBACTERIALS FOR SYSTEMIC USE","QUINOLONE ANTIBACTERIALS","Fluoroquinolones"
"J01MA10","rufloxacin","J","J01","J01M","J01MA","ANTIINFECTIVES FOR SYSTEMIC USE","ANTIBACTERIALS FOR SYSTEMIC USE","QUINOLONE ANTIBACTERIALS","Fluoroquinolones"
"J01MA11","grepafloxacin","J","J01","J01M","J01MA","ANTIINFECTIVES FOR SYSTEMIC USE","ANTIBACTERIALS FOR SYSTEMIC USE","QUINOLONE ANTIBACTERIALS","Fluoroquinolones"
"J01MA12","levofloxacin","J","J01","J01M","J01MA","ANTIINFECTIVES FOR SYSTEMIC USE","ANTIBACTERIALS FOR SYSTEMIC USE","QUINOLONE ANTIBACTERIALS","Fluoroquinolones"
"J01MA13","trovafloxacin","J","J01","J01M","J01MA","ANTIINFECTIVES FOR SYSTEMIC USE","ANTIBACTERIALS FOR SYSTEMIC USE","QUINOLONE ANTIBACTERIALS","Fluoroquinolones"
"J01MA14","moxifloxacin","J","J01","J01M","J01MA","ANTIINFECTIVES FOR SYSTEMIC USE","ANTIBACTERIALS FOR SYSTEMIC USE","QUINOLONE ANTIBACTERIALS","Fluoroquinolones"
"J01MA15","gemifloxacin","J","J01","J01M","J01MA","ANTIINFECTIVES FOR SYSTEMIC USE","ANTIBACTERIALS FOR SYSTEMIC USE","QUINOLONE ANTIBACTERIALS","Fluoroquinolones"
"J01MA16","gatifloxacin","J","J01","J01M","J01MA","ANTIINFECTIVES FOR SYSTEMIC USE","ANTIBACTERIALS FOR SYSTEMIC USE","QUINOLONE ANTIBACTERIALS","Fluoroquinolones"
"J01MA17","prulifloxacin","J","J01","J01M","J01MA","ANTIINFECTIVES FOR SYSTEMIC USE","ANTIBACTERIALS FOR SYSTEMIC USE","QUINOLONE ANTIBACTERIALS","Fluoroquinolones"
"J01MA18","pazufloxacin","J","J01","J01M","J01MA","ANTIINFECTIVES FOR SYSTEMIC USE","ANTIBACTERIALS FOR SYSTEMIC USE","QUINOLONE ANTIBACTERIALS","Fluoroquinolones"
"J01MA19","garenoxacin","J","J01","J01M","J01MA","ANTIINFECTIVES FOR SYSTEMIC USE","ANTIBACTERIALS FOR SYSTEMIC USE","QUINOLONE ANTIBACTERIALS","Fluoroquinolones"
"J01MA21","sitafloxacin","J","J01","J01M","J01MA","ANTIINFECTIVES FOR SYSTEMIC USE","ANTIBACTERIALS FOR SYSTEMIC USE","QUINOLONE ANTIBACTERIALS","Fluoroquinolones"
"N02CC01","sumatriptan","N","N02","N02C","N02CC","NERVOUS SYSTEM","ANALGESICS","ANTIMIGRAINE PREPARATIONS","Selective serotonin (5HT1) agonists"
"N02CC02","naratriptan","N","N02","N02C","N02CC","NERVOUS SYSTEM","ANALGESICS","ANTIMIGRAINE PREPARATIONS","Selective serotonin (5HT1) agonists"
"N02CC03","zolmitriptan","N","N02","N02C","N02CC","NERVOUS SYSTEM","ANALGESICS","ANTIMIGRAINE PREPARATIONS","Selective serotonin (5HT1) agonists"
"N02CC04","rizatriptan","N","N02","N02C","N02CC","NERVOUS SYSTEM","ANALGESICS","ANTIMIGRAINE PREPARATIONS","Selective serotonin (5HT1) agonists"
"N02CC05","almotriptan","N","N02","N02C","N02CC","NERVOUS SYSTEM","ANALGESICS","ANTIMIGRAINE PREPARATIONS","Selective serotonin (5HT1) agonists"
"N02CC06","eletriptan","N","N02","N02C","N02CC","NERVOUS SYSTEM","ANALGESICS","ANTIMIGRAINE PREPARATIONS","Selective serotonin (5HT1) agonists"
"N02CC07","frovatriptan","N","N02","N02C","N02CC","NERVOUS SYSTEM","ANALGESICS","ANTIMIGRAINE PREPARATIONS","Selective serotonin (5HT1) agonists"
"B02BB01","fibrinogen, human","B","B02","B02B","B02BB","BLOOD AND BLOOD FORMING ORGANS","ANTIHEMORRHAGICS","VITAMIN K AND OTHER HEMOSTATICS","Fibrinogen"
"M03BA01","phenprobamate","M","M03","M03B","M03BA","MUSCULO-SKELETAL SYSTEM","MUSCLE RELAXANTS","MUSCLE RELAXANTS, CENTRALLY ACTING AGENTS","Carbamic acid esters"
"M03BA02","carisoprodol","M","M03","M03B","M03BA","MUSCULO-SKELETAL SYSTEM","MUSCLE RELAXANTS","MUSCLE RELAXANTS, CENTRALLY ACTING AGENTS","Carbamic acid esters"
"M03BA03","methocarbamol","M","M03","M03B","M03BA","MUSCULO-SKELETAL SYSTEM","MUSCLE RELAXANTS","MUSCLE RELAXANTS, CENTRALLY ACTING AGENTS","Carbamic acid esters"
"M03BA04","styramate","M","M03","M03B","M03BA","MUSCULO-SKELETAL SYSTEM","MUSCLE RELAXANTS","MUSCLE RELAXANTS, CENTRALLY ACTING AGENTS","Carbamic acid esters"
"M03BA05","febarbamate","M","M03","M03B","M03BA","MUSCULO-SKELETAL SYSTEM","MUSCLE RELAXANTS","MUSCLE RELAXANTS, CENTRALLY ACTING AGENTS","Carbamic acid esters"
"M03BA51","phenprobamate, combinations excl. psycholeptics","M","M03","M03B","M03BA","MUSCULO-SKELETAL SYSTEM","MUSCLE RELAXANTS","MUSCLE RELAXANTS, CENTRALLY ACTING AGENTS","Carbamic acid esters"
"M03BA52","carisoprodol, combinations excl. psycholeptics","M","M03","M03B","M03BA","MUSCULO-SKELETAL SYSTEM","MUSCLE RELAXANTS","MUSCLE RELAXANTS, CENTRALLY ACTING AGENTS","Carbamic acid esters"
"M03BA53","methocarbamol, combinations excl. psycholeptics","M","M03","M03B","M03BA","MUSCULO-SKELETAL SYSTEM","MUSCLE RELAXANTS","MUSCLE RELAXANTS, CENTRALLY ACTING AGENTS","Carbamic acid esters"
"M03BA71","phenprobamate, combinations with psycholeptics","M","M03","M03B","M03BA","MUSCULO-SKELETAL SYSTEM","MUSCLE RELAXANTS","MUSCLE RELAXANTS, CENTRALLY ACTING AGENTS","Carbamic acid esters"
"M03BA72","carisoprodol, combinations with psycholeptics","M","M03","M03B","M03BA","MUSCULO-SKELETAL SYSTEM","MUSCLE RELAXANTS","MUSCLE RELAXANTS, CENTRALLY ACTING AGENTS","Carbamic acid esters"
"M03BA73","methocarbamol, combinations with psycholeptics","M","M03","M03B","M03BA","MUSCULO-SKELETAL SYSTEM","MUSCLE RELAXANTS","MUSCLE RELAXANTS, CENTRALLY ACTING AGENTS","Carbamic acid esters"
"A06AD01","magnesium carbonate","A","A06","A06A","A06AD","ALIMENTARY TRACT AND METABOLISM","DRUGS FOR CONSTIPATION","DRUGS FOR CONSTIPATION","Osmotically acting laxatives"
"A06AD02","magnesium oxide","A","A06","A06A","A06AD","ALIMENTARY TRACT AND METABOLISM","DRUGS FOR CONSTIPATION","DRUGS FOR CONSTIPATION","Osmotically acting laxatives"
"A06AD03","magnesium peroxide","A","A06","A06A","A06AD","ALIMENTARY TRACT AND METABOLISM","DRUGS FOR CONSTIPATION","DRUGS FOR CONSTIPATION","Osmotically acting laxatives"
"A06AD04","magnesium sulfate","A","A06","A06A","A06AD","ALIMENTARY TRACT AND METABOLISM","DRUGS FOR CONSTIPATION","DRUGS FOR CONSTIPATION","Osmotically acting laxatives"
"A06AD10","mineral salts in combination","A","A06","A06A","A06AD","ALIMENTARY TRACT AND METABOLISM","DRUGS FOR CONSTIPATION","DRUGS FOR CONSTIPATION","Osmotically acting laxatives"
"A06AD11","lactulose","A","A06","A06A","A06AD","ALIMENTARY TRACT AND METABOLISM","DRUGS FOR CONSTIPATION","DRUGS FOR CONSTIPATION","Osmotically acting laxatives"
"A06AD12","lactitol","A","A06","A06A","A06AD","ALIMENTARY TRACT AND METABOLISM","DRUGS FOR CONSTIPATION","DRUGS FOR CONSTIPATION","Osmotically acting laxatives"
"A06AD13","sodium sulfate","A","A06","A06A","A06AD","ALIMENTARY TRACT AND METABOLISM","DRUGS FOR CONSTIPATION","DRUGS FOR CONSTIPATION","Osmotically acting laxatives"
"A06AD14","pentaerithrityl","A","A06","A06A","A06AD","ALIMENTARY TRACT AND METABOLISM","DRUGS FOR CONSTIPATION","DRUGS FOR CONSTIPATION","Osmotically acting laxatives"
"A06AD15","macrogol","A","A06","A06A","A06AD","ALIMENTARY TRACT AND METABOLISM","DRUGS FOR CONSTIPATION","DRUGS FOR CONSTIPATION","Osmotically acting laxatives"
"A06AD16","mannitol","A","A06","A06A","A06AD","ALIMENTARY TRACT AND METABOLISM","DRUGS FOR CONSTIPATION","DRUGS FOR CONSTIPATION","Osmotically acting laxatives"
"A06AD17","sodium phosphate","A","A06","A06A","A06AD","ALIMENTARY TRACT AND METABOLISM","DRUGS FOR CONSTIPATION","DRUGS FOR CONSTIPATION","Osmotically acting laxatives"
"A06AD18","sorbitol","A","A06","A06A","A06AD","ALIMENTARY TRACT AND METABOLISM","DRUGS FOR CONSTIPATION","DRUGS FOR CONSTIPATION","Osmotically acting laxatives"
"A06AD19","magnesium citrate","A","A06","A06A","A06AD","ALIMENTARY TRACT AND METABOLISM","DRUGS FOR CONSTIPATION","DRUGS FOR CONSTIPATION","Osmotically acting laxatives"
"A06AD21","sodium tartrate","A","A06","A06A","A06AD","ALIMENTARY TRACT AND METABOLISM","DRUGS FOR CONSTIPATION","DRUGS FOR CONSTIPATION","Osmotically acting laxatives"
"A06AD61","lactulose, combinations","A","A06","A06A","A06AD","ALIMENTARY TRACT AND METABOLISM","DRUGS FOR CONSTIPATION","DRUGS FOR CONSTIPATION","Osmotically acting laxatives"
"A06AD65","macrogol, combinations","A","A06","A06A","A06AD","ALIMENTARY TRACT AND METABOLISM","DRUGS FOR CONSTIPATION","DRUGS FOR CONSTIPATION","Osmotically acting laxatives"
"H03BA01","methylthiouracil","H","H03","H03B","H03BA","SYSTEMIC HORMONAL PREPARATIONS, EXCL. SEX HORMONES AND INSULINS","THYROID THERAPY","ANTITHYROID PREPARATIONS","Thiouracils"
"H03BA02","propylthiouracil","H","H03","H03B","H03BA","SYSTEMIC HORMONAL PREPARATIONS, EXCL. SEX HORMONES AND INSULINS","THYROID THERAPY","ANTITHYROID PREPARATIONS","Thiouracils"
"H03BA03","benzylthiouracil","H","H03","H03B","H03BA","SYSTEMIC HORMONAL PREPARATIONS, EXCL. SEX HORMONES AND INSULINS","THYROID THERAPY","ANTITHYROID PREPARATIONS","Thiouracils"
"J01DH02","meropenem","J","J01","J01D","J01DH","ANTIINFECTIVES FOR SYSTEMIC USE","ANTIBACTERIALS FOR SYSTEMIC USE","OTHER BETA-LACTAM ANTIBACTERIALS","Carbapenems"
"J01DH03","ertapenem","J","J01","J01D","J01DH","ANTIINFECTIVES FOR SYSTEMIC USE","ANTIBACTERIALS FOR SYSTEMIC USE","OTHER BETA-LACTAM ANTIBACTERIALS","Carbapenems"
"J01DH04","doripenem","J","J01","J01D","J01DH","ANTIINFECTIVES FOR SYSTEMIC USE","ANTIBACTERIALS FOR SYSTEMIC USE","OTHER BETA-LACTAM ANTIBACTERIALS","Carbapenems"
"J01DH05","biapenem","J","J01","J01D","J01DH","ANTIINFECTIVES FOR SYSTEMIC USE","ANTIBACTERIALS FOR SYSTEMIC USE","OTHER BETA-LACTAM ANTIBACTERIALS","Carbapenems"
"J01DH51","imipenem and enzyme inhibitor","J","J01","J01D","J01DH","ANTIINFECTIVES FOR SYSTEMIC USE","ANTIBACTERIALS FOR SYSTEMIC USE","OTHER BETA-LACTAM ANTIBACTERIALS","Carbapenems"
"J01DH55","panipenem and betamipron","J","J01","J01D","J01DH","ANTIINFECTIVES FOR SYSTEMIC USE","ANTIBACTERIALS FOR SYSTEMIC USE","OTHER BETA-LACTAM ANTIBACTERIALS","Carbapenems"
"A10BB01","glibenclamide","A","A10","A10B","A10BB","ALIMENTARY TRACT AND METABOLISM","DRUGS USED IN DIABETES","BLOOD GLUCOSE LOWERING DRUGS, EXCL. INSULINS","Sulfonylureas"
"A10BB02","chlorpropamide","A","A10","A10B","A10BB","ALIMENTARY TRACT AND METABOLISM","DRUGS USED IN DIABETES","BLOOD GLUCOSE LOWERING DRUGS, EXCL. INSULINS","Sulfonylureas"
"A10BB03","tolbutamide","A","A10","A10B","A10BB","ALIMENTARY TRACT AND METABOLISM","DRUGS USED IN DIABETES","BLOOD GLUCOSE LOWERING DRUGS, EXCL. INSULINS","Sulfonylureas"
"A10BB04","glibornuride","A","A10","A10B","A10BB","ALIMENTARY TRACT AND METABOLISM","DRUGS USED IN DIABETES","BLOOD GLUCOSE LOWERING DRUGS, EXCL. INSULINS","Sulfonylureas"
"A10BB05","tolazamide","A","A10","A10B","A10BB","ALIMENTARY TRACT AND METABOLISM","DRUGS USED IN DIABETES","BLOOD GLUCOSE LOWERING DRUGS, EXCL. INSULINS","Sulfonylureas"
"A10BB06","carbutamide","A","A10","A10B","A10BB","ALIMENTARY TRACT AND METABOLISM","DRUGS USED IN DIABETES","BLOOD GLUCOSE LOWERING DRUGS, EXCL. INSULINS","Sulfonylureas"
"A10BB07","glipizide","A","A10","A10B","A10BB","ALIMENTARY TRACT AND METABOLISM","DRUGS USED IN DIABETES","BLOOD GLUCOSE LOWERING DRUGS, EXCL. INSULINS","Sulfonylureas"
"A10BB08","gliquidone","A","A10","A10B","A10BB","ALIMENTARY TRACT AND METABOLISM","DRUGS USED IN DIABETES","BLOOD GLUCOSE LOWERING DRUGS, EXCL. INSULINS","Sulfonylureas"
"A10BB09","gliclazide","A","A10","A10B","A10BB","ALIMENTARY TRACT AND METABOLISM","DRUGS USED IN DIABETES","BLOOD GLUCOSE LOWERING DRUGS, EXCL. INSULINS","Sulfonylureas"
"A10BB10","metahexamide","A","A10","A10B","A10BB","ALIMENTARY TRACT AND METABOLISM","DRUGS USED IN DIABETES","BLOOD GLUCOSE LOWERING DRUGS, EXCL. INSULINS","Sulfonylureas"
"A10BB11","glisoxepide","A","A10","A10B","A10BB","ALIMENTARY TRACT AND METABOLISM","DRUGS USED IN DIABETES","BLOOD GLUCOSE LOWERING DRUGS, EXCL. INSULINS","Sulfonylureas"
"A10BB12","glimepiride","A","A10","A10B","A10BB","ALIMENTARY TRACT AND METABOLISM","DRUGS USED IN DIABETES","BLOOD GLUCOSE LOWERING DRUGS, EXCL. INSULINS","Sulfonylureas"
"A10BB31","acetohexamide","A","A10","A10B","A10BB","ALIMENTARY TRACT AND METABOLISM","DRUGS USED IN DIABETES","BLOOD GLUCOSE LOWERING DRUGS, EXCL. INSULINS","Sulfonylureas"
"A08AA01","phentermine","A","A08","A08A","A08AA","ALIMENTARY TRACT AND METABOLISM","ANTIOBESITY PREPARATIONS, EXCL. DIET PRODUCTS","ANTIOBESITY PREPARATIONS, EXCL. DIET PRODUCTS","Centrally acting antiobesity products"
"A08AA02","fenfluramine","A","A08","A08A","A08AA","ALIMENTARY TRACT AND METABOLISM","ANTIOBESITY PREPARATIONS, EXCL. DIET PRODUCTS","ANTIOBESITY PREPARATIONS, EXCL. DIET PRODUCTS","Centrally acting antiobesity products"
"A08AA03","amfepramone","A","A08","A08A","A08AA","ALIMENTARY TRACT AND METABOLISM","ANTIOBESITY PREPARATIONS, EXCL. DIET PRODUCTS","ANTIOBESITY PREPARATIONS, EXCL. DIET PRODUCTS","Centrally acting antiobesity products"
"A08AA04","dexfenfluramine","A","A08","A08A","A08AA","ALIMENTARY TRACT AND METABOLISM","ANTIOBESITY PREPARATIONS, EXCL. DIET PRODUCTS","ANTIOBESITY PREPARATIONS, EXCL. DIET PRODUCTS","Centrally acting antiobesity products"
"A08AA05","mazindol","A","A08","A08A","A08AA","ALIMENTARY TRACT AND METABOLISM","ANTIOBESITY PREPARATIONS, EXCL. DIET PRODUCTS","ANTIOBESITY PREPARATIONS, EXCL. DIET PRODUCTS","Centrally acting antiobesity products"
"A08AA06","etilamfetamine","A","A08","A08A","A08AA","ALIMENTARY TRACT AND METABOLISM","ANTIOBESITY PREPARATIONS, EXCL. DIET PRODUCTS","ANTIOBESITY PREPARATIONS, EXCL. DIET PRODUCTS","Centrally acting antiobesity products"
"A08AA07","cathine","A","A08","A08A","A08AA","ALIMENTARY TRACT AND METABOLISM","ANTIOBESITY PREPARATIONS, EXCL. DIET PRODUCTS","ANTIOBESITY PREPARATIONS, EXCL. DIET PRODUCTS","Centrally acting antiobesity products"
"A08AA08","clobenzorex","A","A08","A08A","A08AA","ALIMENTARY TRACT AND METABOLISM","ANTIOBESITY PREPARATIONS, EXCL. DIET PRODUCTS","ANTIOBESITY PREPARATIONS, EXCL. DIET PRODUCTS","Centrally acting antiobesity products"
"A08AA09","mefenorex","A","A08","A08A","A08AA","ALIMENTARY TRACT AND METABOLISM","ANTIOBESITY PREPARATIONS, EXCL. DIET PRODUCTS","ANTIOBESITY PREPARATIONS, EXCL. DIET PRODUCTS","Centrally acting antiobesity products"
